default,Identifier,Remarks,hu,it,es esm
%o thought %g saw a cacodemon.,OB_STEALTHCACO,,a %o sembrava di aver visto un cacodemone.,a %o sembrava di aver visto un cacodemone.,%o ha creído ver un Cacodemonio.
%o thought %g saw a chaingunner.,OB_STEALTHCHAINGUY,,a %o sembrava di aver visto uno zombie commando.,a %o sembrava di aver visto uno zombie commando.,%o ha creído ver un Ametrallador.
%o thought %g saw a demon.,OB_STEALTHDEMON,,a %o sembrava di aver visto un demone.,a %o sembrava di aver visto un demone.,%o ha creído ver un Demonio.
%o thought %g saw a Hell Knight.,OB_STEALTHKNIGHT,,a %o sembrava di aver visto un Cavaliere Infernale.,a %o sembrava di aver visto un Cavaliere Infernale.,%o ha creído ver un Caballero del Infierno.
%o thought %g saw an imp.,OB_STEALTHIMP,,a %o sembrava di aver visto un imp.,a %o sembrava di aver visto un imp.,%o ha creído ver un Imp.
%o thought %g saw a mancubus.,OB_STEALTHFATSO,,a %o sembrava di aver visto un mancubus.,a %o sembrava di aver visto un mancubus.,%o ha creído ver un Mancubus.
%o thought %g saw a revenant.,OB_STEALTHUNDEAD,,a %o sembrava di aver visto un revenant.,a %o sembrava di aver visto un revenant.,%o ha creído ver un Revenant.
%o thought %g saw a sergeant.,OB_STEALTHSHOTGUNGUY,,a %o sembrava di aver visto un zombie sergente.,a %o sembrava di aver visto un zombie sergente.,%o ha creído ver un Sargento.
%o thought %g saw a zombieman.,OB_STEALTHZOMBIE,,a %o sembrava di aver visto uno zombie marine.,a %o sembrava di aver visto uno zombie marine.,%o ha creído ver un Zombi.
%o was punched by a revenant.,OB_UNDEADHIT,,%o è stato colpito dal pugno di un revenant.,%o è stato colpito dal pugno di un revenant.,A %o l@[ao_esp] ha golpeado un Revenant.
%o was slashed by an imp.,OB_IMPHIT,,%o è stato squarciato da un imp.,%o è stato squarciato da un imp.,A %o l@[ao_esp] ha desgarrado un Imp.
%o got too close to a cacodemon.,OB_CACOHIT,,%o si è avvicinato troppo a un cacodemone.,%o si è avvicinato troppo a un cacodemone.,%o se ha acercado demasiado a un Cacodemonio.
%o was bit by a demon.,OB_DEMONHIT,,%o è stato sbranato da un demone.,%o è stato sbranato da un demone.,A %o l@[ao_esp] ha mordido un Demonio.
%o was eaten by a spectre.,OB_SPECTREHIT,,%o è stato divorato da uno spettro.,%o è stato divorato da uno spettro.,A %o l@[ao_esp] ha devorado un Espectro.
%o was ripped open by a Baron of Hell.,OB_BARONHIT,,%o è stato scoperchiato da un Barone dell'Inferno.,%o è stato scoperchiato da un Barone dell'Inferno.,A %o l@[ao_esp] ha hecho trizas un Barón del Infierno.
%o was gutted by a Hell Knight.,OB_KNIGHTHIT,,%o è stato sbudellato da un Cavaliere dell'Inferno.,%o è stato sbudellato da un Cavaliere dell'Inferno.,A %o l@[ao_esp] ha destripado un Caballero del Infierno.
%o was killed by a zombieman.,OB_ZOMBIE,,%o è stato ucciso da uno zombie marine.,%o è stato ucciso da uno zombie marine.,A %o se l@[ao_esp] ha cargado un Zombi.
%o was shot by a sergeant.,OB_SHOTGUY,,%o è sato impallinato da uno zombie sergente.,%o è sato impallinato da uno zombie sergente.,A %o l@[ao_esp] ha fusilado un Sargento.
%o was incinerated by an archvile.,OB_VILE,,%o è stato incenerito da un arch-vile.,%o è stato incenerito da un arch-vile.,A %o l@[ao_esp] ha incinerado un Arch-Vile.
%o couldn't evade a revenant's fireball.,OB_UNDEAD,,%o non ha potuto evitare il missile di un revenant.,%o non ha potuto evitare il missile di un revenant.,A %o l@[ao_esp] ha hecho reventar un Revenant.
%o was squashed by a mancubus.,OB_FATSO,,%o è stato disintegrato da un mancubus.,%o è stato disintegrato da un mancubus.,A %o l@[ao_esp] ha pulverizado un Mancubus.
%o was perforated by a chaingunner.,OB_CHAINGUY,,%o è stato perforato da uno zombie commando.,%o è stato perforato da uno zombie commando.,A %o l@[ao_esp] ha perforado un Ametrallador.
%o was spooked by a lost soul.,OB_SKULL,,%o è stato spaventato a morte da un'Anima Errante.,%o è stato spaventato a morte da un'Anima Errante.,%o se ha muerto de miedo con un Alma Errante.
%o was burned by an imp.,OB_IMP,,%o è stato bruciato da un imp.,%o è stato bruciato da un imp.,A %o l@[ao_esp] ha calcinado un Imp.
%o was smitten by a cacodemon.,OB_CACO,,%o è stato abbattuto da un cacodemone.,%o è stato abbattuto da un cacodemone.,A %o l@[ao_esp] ha cascado un Cacodemonio.
%o was bruised by a Baron of Hell.,OB_BARON,,%o è stato scorticato da un Barone Infernale.,%o è stato scorticato da un Barone Infernale.,A %o l@[ao_esp] ha magullado un Barón del Infierno.
%o was splayed by a Hell Knight.,OB_KNIGHT,,%o è stato squartato da un Cavaliere Infernale.,%o è stato squartato da un Cavaliere Infernale.,A %o l@[ao_esp] ha partido en dos un Caballero del Infierno.
%o stood in awe of the spider demon.,OB_SPIDER,,%o è stato soggiogato dal Ragno demoniaco.,%o è stato soggiogato dal Ragno demoniaco.,%o se ha arrodillado ante la Mente-Maestra Arácnida.
%o let an arachnotron get %h.,OB_BABY,,%o ha permesso che un arachnotron l'uccidesse.,%o ha permesso che un arachnotron l'uccidesse.,A %o l@[ao_esp] ha alcanzado un Aracnotrón.
%o was splattered by a cyberdemon.,OB_CYBORG,,%o è stato spiaccicato da un Cyberdemone.,%o è stato spiaccicato da un Cyberdemone.,A %o l@[ao_esp] ha hecho pedazos un Ciberdemonio.
%o met a Nazi.,OB_WOLFSS,,%o ha incontrato un Nazista.,%o ha incontrato un Nazista.,%o se ha topado con un Nazi.
%o was mauled by a dog.,OB_DOG,,%o è stato sbranato da un cane.,%o è stato sbranato da un cane.,A %o l@[ao_esp] ha despedazado un Perro.
%o chewed on %k's fist.,OB_MPFIST,,%o si è schiantato contro il pugno di %k.,%o si è schiantato contro il pugno di %k.,%o se ha comido el puño de %k.
%o was mowed over by %k's chainsaw.,OB_MPCHAINSAW,,%o è stato falciato dalla motosega di %k.,%o è stato falciato dalla motosega di %k.,Ha habido matanza de %o con la motosierra de %k.
%o was tickled by %k's pea shooter.,OB_MPPISTOL,,%o è stato sforacchiato dalla pistola di %k'.,%o è stato sforacchiato dalla pistola di %k'.,A %o le ha hecho cosquillas la pistola de %k.
%o chewed on %k's boomstick.,OB_MPSHOTGUN,,%o si è trovato davanti il fucile di %k.,%o si è trovato davanti il fucile di %k.,A %o l@[ao_esp] ha agujereado la escopeta de %k.
%o was splattered by %k's super shotgun.,OB_MPSSHOTGUN,,%o è stato smembrato dalla doppietta di %k.,%o è stato smembrato dalla doppietta di %k.,A %o l@[ao_esp] reventado la superescopeta de %k.
%o was mowed down by %k's chaingun.,OB_MPCHAINGUN,,%o è stato falciato dal mitragliatore di %k.,%o è stato falciato dal mitragliatore di %k.,A %o l@[ao_esp] ha dejado hecho colador la ametralladora de %k.
%o rode %k's rocket.,OB_MPROCKET,,%o ha cavalcato il razzo di %k.,%o ha cavalcato il razzo di %k.,%o ha montado el misil de %k.
%o almost dodged %k's rocket.,OB_MPR_SPLASH,,%o aveva quasi schivato il razzo di %k.,%o aveva quasi schivato il razzo di %k.,%o casi esquiva el misil de %k.
%o was melted by %k's plasma gun.,OB_MPPLASMARIFLE,,%o è stato fuso dal fucile al plasma di %k.,%o è stato fuso dal fucile al plasma di %k.,A %o l@[ao_esp] ha derretido el fusil de plasma de %k.
%o was splintered by %k's BFG.,OB_MPBFG_BOOM,,%o è stato sminuzzato dal BFG di %k.,%o è stato sminuzzato dal BFG di %k.,A %o l@[ao_esp] ha astillado la BFG de %k.
%o couldn't hide from %k's BFG.,OB_MPBFG_SPLASH,,%o non poteva nascondersi dal BFG di %k.,%o non poteva nascondersi dal BFG di %k.,%o no ha conseguido esconderse de la BFG de %k.
%o was railed by %k.,OB_RAILGUN,,%o è stato bucherellato dal railgun di %k.,%o è stato bucherellato dal railgun di %k.,A %o l@[ao_esp] ha agujereado el cañón de riel de %k.
%o was burned by %k's BFG.,OB_MPBFG_MBF,,%o è stato bruciato dal BFG di %k.,%o è stato bruciato dal BFG di %k.,A %o l@[ao_esp] ha calcinado la BFG de %k.
,,,,,
,,,,,
Blue Key,TXT_GOTBLUEKEY,,Chiave blu,Chiave blu,Llave Azul
Yellow Key,TXT_GOTYELLOWKEY,,Chiave gialla,Chiave gialla,Llave Amarilla
Green Key,TXT_GOTGREENKEY,,Chiave verde,Chiave verde,Llave Verde
Quartz Flask,TXT_ARTIHEALTH,,Ampolla di quarzo,Ampolla di quarzo,Frasco de Cuarzo
Wings of Wrath,TXT_ARTIFLY,,Ali iraconde,Ali iraconde,Alas de Ira
Ring of Invincibility,TXT_ARTIINVULNERABILITY,,Anello dell'invincibilità,Anello dell'invincibilità,Anillo de Invencibilidad
Tome of Power,TXT_ARTITOMEOFPOWER,,Tomo del potere,Tomo del potere,Tomo de Poder
Shadowsphere,TXT_ARTIINVISIBILITY,,Sfera dell'ombra,Sfera dell'ombra,Esfera de Sombra
Morph Ovum,TXT_ARTIEGG,,Uovo della metamorfosi,Uovo della metamorfosi,Huevo de Transformación
Mystic Urn,TXT_ARTISUPERHEALTH,,Urna mistica,Urna mistica,Urna Mística
Torch,TXT_ARTITORCH,,Torcia,Torcia,Antorcha
Time Bomb of the Ancients,TXT_ARTIFIREBOMB,,Bomba a tempo degli antichi,Bomba a tempo degli antichi,Bomba de tiempo de los Ancestros
Chaos Device,TXT_ARTITELEPORT,,"Dispositivo del Caos
","Dispositivo del Caos
",Dispositivo del Caos
Crystal Vial,TXT_ITEMHEALTH,,Fiala di cristallo,Fiala di cristallo,Tubo de Cristal
Bag of Holding,TXT_ITEMBAGOFHOLDING,,Borsa Portaoggetti,Borsa Portaoggetti,Bolso sin Fondo
Silver Shield,TXT_ITEMSHIELD1,,Scudo d'argento,Scudo d'argento,Escudo Plateado
Enchanted Shield,TXT_ITEMSHIELD2,,Scudo incantato,Scudo incantato,Escudo Encantado
Map Scroll,TXT_ITEMSUPERMAP,,Pergamena della Mappa,Pergamena della Mappa,Mapa en Pergamino
Wand Crystal,TXT_AMMOGOLDWAND1,,Bacchetta di cristallo,Bacchetta di cristallo,Cristal para Vara
Crystal Geode,TXT_AMMOGOLDWAND2,,Geode di cristallo,Geode di cristallo,Geoda de Cristal
Mace Spheres,TXT_AMMOMACE1,,Sfere per la mazza,Sfere per la mazza,Esferas de Maza
Pile of Mace Spheres,TXT_AMMOMACE2,,Pila di sfere per la mazza,Pila di sfere per la mazza,Pila de Esferas de Maza
Ethereal Arrows,TXT_AMMOCROSSBOW1,,Frecce eteree,Frecce eteree,Flechas Etéreas
Quiver of Ethereal Arrows,TXT_AMMOCROSSBOW2,,Faretra di frecce eteree,Faretra di frecce eteree,Carcaj de Flechas Etéreas
Claw Orb,TXT_AMMOBLASTER1,,Sfera d'artiglio,Sfera d'artiglio,Orbe de Garra
Energy Orb,TXT_AMMOBLASTER2,,Sfera di energia,Sfera di energia,Orbe de Energía
Lesser Runes,TXT_AMMOSKULLROD1,,Rune inferiori,Rune inferiori,Runas Menores
Greater Runes,TXT_AMMOSKULLROD2,,Rune superiori,Rune superiori,Runas Mayores
Flame Orb,TXT_AMMOPHOENIXROD1,,Sfera di fuoco,Sfera di fuoco,Orbe de Flama
Inferno Orb,TXT_AMMOPHOENIXROD2,,Sfera infernale,Sfera infernale,Orbe de Averno
Gold Wand,TXT_WPNGOLDWAND,,Bacchetta d'oro,Bacchetta d'oro,Vara Dorada
Firemace,TXT_WPNMACE,,"Mazza di fuoco
","Mazza di fuoco
",Maza de Fuego
Ethereal Crossbow,TXT_WPNCROSSBOW,,Balestra eterea,Balestra eterea,Ballesta Etérea
Dragon Claw,TXT_WPNBLASTER,,Artiglio del drago,Artiglio del drago,Garra de Dragón
Hellstaff,TXT_WPNSKULLROD,,Staffa infernale,Staffa infernale,Bastón Infernal
Phoenix Rod,TXT_WPNPHOENIXROD,,Asta della fenice,Asta della fenice,Báculo del Fénix
Gauntlets of the Necromancer,TXT_WPNGAUNTLETS,,Guanti del Negromante,Guanti del Negromante,Guanteletes del Nigromante
,,,,,
You need a blue key to open this door,TXT_NEEDBLUEKEY,,"Ti serve una chiave blu per aprire questa porta
","Ti serve una chiave blu per aprire questa porta
",Necesitas una llave azul para abrir esta puerta
You need a green key to open this door,TXT_NEEDGREENKEY,,"Ti serve una chiave verde per aprire questa porta
","Ti serve una chiave verde per aprire questa porta
",Necesitas una llave verde para abrir esta puerta
You need a yellow key to open this door,TXT_NEEDYELLOWKEY,,Ti serve una chiave gialla per aprire questa porta,Ti serve una chiave gialla per aprire questa porta,Necesitas una llave amarilla para abrir esta puerta
,,,,,
Chicken,FN_CHICKEN,,Pollo,Pollo,Pollo
Weredragon,FN_BEAST,,Drago Mannaro,Drago Mannaro,Hombre dragón
Sabreclaw,FN_CLINK,,Lamartiglio,Lamartiglio,Garras de sable
D'Sparil,FN_DSPARIL,,,,
Gargoyle,FN_HERETICIMP,,,,Gárgola
Ironlich,FN_IRONLICH,,Lich di Ferro,Lich di Ferro,Liche de hierro
Undead Warrior,FN_BONEKNIGHT,,Guerriero Non Morto,Guerriero Non Morto,Guerrero no muerto
Maulotaur,FN_MINOTAUR,,Maulotauro,Maulotauro,Mazotauro
Golem,FN_MUMMY,,,,Gólem
Nitrogolem,FN_MUMMYLEADER,,,,Gólem de ázoe
Ophidian,FN_SNAKE,,,,Ofidio
Wizard,FN_WIZARD,,Mago,Mago,Mago
Wand Crystals,AMMO_GOLDWAND,,Cristalli per la bacchetta,Cristalli per la bacchetta,Cristales para vara
Ethereal Arrows,AMMO_CROSSBOW,,Frecce eteree,Frecce eteree,Flechas etéreas
Claw Orbs,AMMO_BLASTER,,Sfere di artigli,Sfere di artigli,Orbes de garra
Mace Spheres,AMMO_MACE,,Sfere per la mazza,Sfere per la mazza,Esferas de maza
Hellstaff Runes,AMMO_SKULLROD,,Rune infernali,Rune infernali,Runas de Vara Infernal
Flame Orbs,AMMO_PHOENIXROD,,Sfere di fuoco,Sfere di fuoco,Orbes de llama
Staff,TAG_STAFF,,Staffa,Staffa,Bastón
Elven Wand,TAG_GOLDWAND,,Scettro Elfico,Scettro Elfico,Vara de Elfo
,,,,,
%o was pecked to death.,OB_CHICKEN,,%o è stato beccato a morte.,%o è stato beccato a morte.,A %o l@[ao_esp] han picoteado a muerte.
%o was charred by a weredragon.,OB_BEAST,,%o è stato carbonizzato da una bestia.,%o è stato carbonizzato da una bestia.,A %o l@[ao_esp] ha carbonizado un hombre dragón.
%o was slashed by a sabreclaw.,OB_CLINK,,%o è stato squarciato da un lapillo.,%o è stato squarciato da un lapillo.,A %o l@[ao_esp] ha cortado un garras de sable.
%o was scalded by D'Sparil's serpent.,OB_DSPARIL1,,%o è stato bruciato dal serpente di D'Sparil.,%o è stato bruciato dal serpente di D'Sparil.,A %o l@[ao_esp] ha carbonizado la serpiente de D'Sparil.
%o was chewed up by D'Sparil's serpent.,OB_DSPARIL1HIT,,%o è stato masticato dal serpente di D'Sparil.,%o è stato masticato dal serpente di D'Sparil.,A %o l@[ao_esp] ha engullido la serpiente de D'Sparil.
%o was no match for D'Sparil.,OB_DSPARIL2,,%o non era all'altezza di D'Sparil.,%o non era all'altezza di D'Sparil.,%o no era rival para D'Sparil.
%o was smacked down by D'Sparil.,OB_DSPARIL2HIT,,%o è stato abbattuto da D'Sparil.,%o è stato abbattuto da D'Sparil.,A %o l@[ao_esp] ha humillado D'Sparil.
%o was scarred by a gargoyle.,OB_HERETICIMP,,%o è stato terrorizzato da un imp.,%o è stato terrorizzato da un imp.,"A %o l@[ao_esp] ha marcado, y no de cicatrices, una gárgola."
%o was hacked by a gargoyle.,OB_HERETICIMPHIT,,%o è stato eliminato da un imp.,%o è stato eliminato da un imp.,A %o l@[ao_esp] ha arañado una gárgola.
%o was devastated by an ironlich.,OB_IRONLICH,,%o è stato devastato da un ironlich.,%o è stato devastato da un ironlich.,A %o l@[ao_esp] ha devastado un liche de hierro.
%o got up-close and personal with an ironlich.,OB_IRONLICHHIT,,%o è andato troppo vicino a un ironlich.,%o è andato troppo vicino a un ironlich.,%o ha tenido un encuentro cercano y personal con un liche de hierro.
%o was axed by an undead warrior.,OB_BONEKNIGHT,,%o è stato accettato da un guerriero non morto .,%o è stato accettato da un guerriero non morto .,%o ha recibido un hachazo de un guerrero no muerto.
%o was slain by an undead warrior.,OB_BONEKNIGHTHIT,,%o è stato ucciso da un guerriero non morto.,%o è stato ucciso da un guerriero non morto.,A %o l@[ao_esp] ha descuartizado un guerrero no muerto.
%o was blasted into cinders by a Maulotaur.,OB_MINOTAUR,,%o è stato incenerito da un Maulotauro.,%o è stato incenerito da un Maulotauro.,A %o l@[ao_esp] ha volado en cenizas un Mazotauro.
%o was pulped by a Maulotaur.,OB_MINOTAURHIT,,%o è stato ridotto in poltiglia da un Maulotauro.,%o è stato ridotto in poltiglia da un Maulotauro.,A %o l@[ao_esp] ha hecho puré un Mazotauro.
%o was smashed by a golem.,OB_MUMMY,,%o è stato schiacciato da un golem.,%o è stato schiacciato da un golem.,A %o l@[ao_esp] ha aplastado un gólem.
%o was shrieked to death by a nitrogolem.,OB_MUMMYLEADER,,%o è stato stroncato da un golem.,%o è stato stroncato da un golem.,A %o le ha chillado a muerte un gólem de ázoe.
%o was rattled by an ophidian.,OB_SNAKE,,%o è stato stritolato da un serpente.,%o è stato stritolato da un serpente.,A %o l@[ao_esp] ha agitado un ofidio.
%o was cursed by a wizard.,OB_WIZARD,,%o è stato maledetto da un mago.,%o è stato maledetto da un mago.,A %o l@[ao_esp] ha maldecido un mago.
%o was palpated by a wizard.,OB_WIZARDHIT,,%o è stato toccato da un mago.,%o è stato toccato da un mago.,A %o l@[ao_esp] ha tocado un mago.
%o got staffed by %k.,OB_MPSTAFF,,%o è stato preso a colpi di staffa da %k.,%o è stato preso a colpi di staffa da %k.,A %o l@[ao_esp] ha apaleado %k.
%o got a shock from %k's gauntlets.,OB_MPGAUNTLETS,,%o è stato folgorato dai guanti di %k.,%o è stato folgorato dai guanti di %k.,%o ha recibido un choque de los guanteletes de %k.
%o waved goodbye to %k's elven wand.,OB_MPGOLDWAND,,%o ha fatto ciao ciao allo scettro elfico di %k.,%o ha fatto ciao ciao allo scettro elfico di %k.,%o se ha despedido de la vara de elfo de %k.
%o was pegged by %k's ethereal crossbow.,OB_MPCROSSBOW,,%o è stato inchiodato dalla balestra eterea di %k.,%o è stato inchiodato dalla balestra eterea di %k.,A %o l@[ao_esp] ha flechado la ballesta etérea de %k.
%o was blasted a new one by %k's dragon claw.,OB_MPBLASTER,,A %o èstato aperto un buco nuovo dall'Artiglio di Drago di %k.,A %o èstato aperto un buco nuovo dall'Artiglio di Drago di %k.,%o ha quedado bien jodid@[ao_esp] por la garra de dragón de %k.
%o got sent down under by %k's hellstaff.,OB_MPSKULLROD,,%o è stato mandato sottoterra dalla Staffa Infernale di %k.,%o è stato mandato sottoterra dalla Staffa Infernale di %k.,%o se ha inclinado ante el bastón infernal de %k.
%o was scorched to cinders by %k's phoenix rod.,OB_MPPHOENIXROD,,%o è stato ridotto in cenere dal Bastone della Fenice di %k.,%o è stato ridotto in cenere dal Bastone della Fenice di %k.,A %o l@[ao_esp] ha pulverizado el báculo del Fénix de %k.
%o was bounced by %k's firemace.,OB_MPMACE,,%o è stato spazzato via dalla Mazza del Fuoco di %k.,%o è stato spazzato via dalla Mazza del Fuoco di %k.,%o ha rebotado en la maza de fuego de %k.
%o got clapped by %k's charged staff.,OB_MPPSTAFF,,%o è scoppiato a causa della staffa incantata di %k.,%o è scoppiato a causa della staffa incantata di %k.,A %o l@[ao_esp] ha apaleado el bastón cargado de %k .
%o was bled dry by %k's gauntlets.,OB_MPPGAUNTLETS,,Il sangue di %o è stato prosciugato dai guanti di %k.,Il sangue di %o è stato prosciugato dai guanti di %k.,A %o l@[ao_esp] han dejado exangüe los guanteletes de %k.
%o was assaulted by %k's elven wand.,OB_MPPGOLDWAND,,%o è stato assalito dallo Scettro Elfico di %k.,%o è stato assalito dallo Scettro Elfico di %k.,%o ha sido asaltad@[ao_esp] por la vara de elfo de %k.
%o was shafted by %k's ethereal crossbow.,OB_MPPCROSSBOW,,%o è stato impalato dalla balestra eterea di %k.,%o è stato impalato dalla balestra eterea di %k.,%o ha sido encañonad@[ao_esp] por la ballesta etérea de %k.
%o was ripped apart by %k's dragon claw.,OB_MPPBLASTER,,%è stato fatto a brandelli dall'Artiglio di Drago di %k.,%è stato fatto a brandelli dall'Artiglio di Drago di %k.,A %o l@[ao_esp] ha desgarrado la garra de dragón de %k.
%k poured the hellstaff on %o.,OB_MPPSKULLROD,,%k ha fatto sgorgare la sua Staffa Infernale su %o.,%k ha fatto sgorgare la sua Staffa Infernale su %o.,%k ha vertido su bastón infernal en %o.
%o was burned down by %k's phoenix staff.,OB_MPPPHOENIXROD,,%o è stato incendiato dal Bastone della Fenice di %k.,%o è stato incendiato dal Bastone della Fenice di %k.,A %o l@[ao_esp] ha calcinado el báculo del Fénix de %k.
%o was squished by %k's giant mace sphere.,OB_MPPMACE,,%o è stato spiaccicato da una sfera gigante della Mazza del Fuoco di %k.,%o è stato spiaccicato da una sfera gigante della Mazza del Fuoco di %k.,A %o l@[ao_esp] ha aplastado una esfera gigante de la maza de %k.
,,,,,
,,,,,
Blue Mana,TXT_MANA_1,,Mana blu,Mana blu,Maná Azul
Green Mana,TXT_MANA_2,,Mana verde,Mana verde,Maná Verde
Combined Mana,TXT_MANA_BOTH,,Mana misto,Mana misto,Maná Combinado
Steel Key,TXT_KEY_STEEL,,Chiave d'acciaio,Chiave d'acciaio,Llave de Acero
Cave Key,TXT_KEY_CAVE,,Chiave della caverna,Chiave della caverna,Llave de la Caverna
Axe Key,TXT_KEY_AXE,,Chiave dell'ascia,Chiave dell'ascia,Llave de Hacha
Fire Key,TXT_KEY_FIRE,,Chiave del fuoco,Chiave del fuoco,Llave de Fuego
Emerald Key,TXT_KEY_EMERALD,,Chiave di smeraldo,Chiave di smeraldo,Llave Esmeralda
Dungeon Key,TXT_KEY_DUNGEON,,Chiave del sotterraneo,Chiave del sotterraneo,Llave del Calabozo
Silver Key,TXT_KEY_SILVER,,Chiave d'argento,Chiave d'argento,Llave de Plata
Rusted Key,TXT_KEY_RUSTED,,Chiave arrugginita,Chiave arrugginita,Llave Oxidada
Horn Key,TXT_KEY_HORN,,Chiave del corno,Chiave del corno,Llave de Cuerno
Swamp Key,TXT_KEY_SWAMP,,Chiave della palude,Chiave della palude,Llave del Pantano
Castle Key,TXT_KEY_CASTLE,,Chiave del castello,Chiave del castello,Llave del Castillo
Icon of the Defender,TXT_ARTIINVULNERABILITY2,,Icona del difensore,Icona del difensore,Icono del Defensor
Dark Servant,TXT_ARTISUMMON,,Servitore oscuro,Servitore oscuro,Sirviente Oscuro
Porkalator,TXT_ARTIEGG2,,Porchificatore,Porchificatore,Porcinador
Flechette,TXT_ARTIPOISONBAG,,Fiaschetta,Fiaschetta,
Banishment Device,TXT_ARTITELEPORTOTHER,,Artifatto dell'esilio,Artifatto dell'esilio,Dispositivo de Desvanecimiento
Boots of Speed,TXT_ARTISPEED,,Stivali della velocità,Stivali della velocità,Botas de Velocidad
Krater of Might,TXT_ARTIBOOSTMANA,,Calice della forza,Calice della forza,Vasija de Fuerza
Dragonskin Bracers,TXT_ARTIBOOSTARMOR,,Bracciali in pelle di drago,Bracciali in pelle di drago,Brazaletes de piel de Dragón
Disc of Repulsion,TXT_ARTIBLASTRADIUS,,Disco della repulsione,Disco della repulsione,Disco de Repulsión
Mystic Ambit Incant,TXT_ARTIHEALINGRADIUS,,Confine mistico,Confine mistico,Encanto de Ámbito Místico
Yorick's Skull,TXT_ARTIPUZZSKULL,,Teschio di Yorick,Teschio di Yorick,Calavera de Yorick
Heart of D'sparil,TXT_ARTIPUZZGEMBIG,,Cuore di d'sparil,Cuore di d'sparil,Corazón de D'Sparil
Ruby Planet,TXT_ARTIPUZZGEMRED,,Pianeta di rubino,Pianeta di rubino,Planeta Rubí
Emerald Planet,TXT_ARTIPUZZGEMGREEN1,,Pianeta di smeraldo,Pianeta di smeraldo,Planeta Esmeralda
Emerald Planet,TXT_ARTIPUZZGEMGREEN2,,Pianeta di smeraldo,Pianeta di smeraldo,Planeta Esmeralda
Sapphire Planet,TXT_ARTIPUZZGEMBLUE1,,Pianeta di zaffiro,Pianeta di zaffiro,Planeta Zafiro
Sapphire Planet,TXT_ARTIPUZZGEMBLUE2,,Pianeta di zaffiro,Pianeta di zaffiro,Planeta Zafiro
Daemon Codex,TXT_ARTIPUZZBOOK1,,Codice Demoniaco,Codice Demoniaco,Códice del Demonio
Liber Oscura,TXT_ARTIPUZZBOOK2,,,,
Flame Mask,TXT_ARTIPUZZSKULL2,,Maschera delle fiamme,Maschera delle fiamme,Máscara de llamas
Glaive Seal,TXT_ARTIPUZZFWEAPON,,Sigillo della brando,Sigillo della brando,Sello de Espada
Holy Relic,TXT_ARTIPUZZCWEAPON,,Reliquia sacra,Reliquia sacra,Santa Reliquia
Sigil of the Magus,TXT_ARTIPUZZMWEAPON,,Suggello del magus,Suggello del magus,Emblema del Mago
Clock Gear,TXT_ARTIPUZZGEAR,,Ingranaggio d'orologio,Ingranaggio d'orologio,Engranaje de reloj
You Cannot Use This Here,TXT_USEPUZZLEFAILED,,Non puoi usare questo oggetto qui,Non puoi usare questo oggetto qui,No puedes usar esto aquí
Mesh Armor,TXT_ARMOR1,,Maglia metallica,Maglia metallica,Armadura de Malla
Falcon Shield,TXT_ARMOR2,,Scudo del falco,Scudo del falco,Escudo de Halcón
Platinum Helmet,TXT_ARMOR3,,Elmo di platino,Elmo di platino,Casco de Platino
Amulet of Warding,TXT_ARMOR4,,Amuleto di protezione,Amuleto di protezione,Amuleto de Guarda
Timon's Axe,TXT_WEAPON_F2,,Ascia di timon,Ascia di timon,Hacha de Timón
Hammer of Retribution,TXT_WEAPON_F3,,Martello del castigo,Martello del castigo,Martillo de Retribución
Quietus Assembled,TXT_WEAPON_F4,,Quietus assemblato,Quietus assemblato,Quietus Ensamblado
Serpent Staff,TXT_WEAPON_C2,,Bastone del serpente,Bastone del serpente,Vara de Serpiente
Firestorm,TXT_WEAPON_C3,,Tempesta di fuoco,Tempesta di fuoco,Tormenta de Fuego
Wraithverge Assembled,TXT_WEAPON_C4,,Verga Sconfinaspettri assemblata,Verga Sconfinaspettri assemblata,Báculo Fantasmal Ensamblado
Frost Shards,TXT_WEAPON_M2,,Frantumi gelati,Frantumi gelati,Fragmentos de Escarcha
Arc of Death,TXT_WEAPON_M3,,Arco della morte,Arco della morte,Arcos de la Muerte
Bloodscourge Assembled,TXT_WEAPON_M4,,Flagello di Sangue assemblato,Flagello di Sangue assemblato,Plaga Sangrienta ensamblada
A weapon piece! This is your lucky day!,TXT_WEAPONPIECE,,Il frammento di un'arma! È il tuo giorno fortunato!,Il frammento di un'arma! È il tuo giorno fortunato!,¡Una pieza de un arma! ¡Es tu día de suerte!
Segment of Quietus,TXT_QUIETUS_PIECE,,Parte del Quietus,Parte del Quietus,Segmento de Quietus
Segment of Wraithverge,TXT_WRAITHVERGE_PIECE,,Parte della Verga Sconfinaspettri,Parte della Verga Sconfinaspettri,Segmento del Báculo Fantasmal
Segment of Bloodscourge,TXT_BLOODSCOURGE_PIECE,,Parte del Flagello di Sangue,Parte del Flagello di Sangue,Segmento de la Plaga Sangrienta
,,,,,
You need the Steel Key,TXT_NEED_KEY_STEEL,,Ti serve la Chiave d'Acciaio,Ti serve la Chiave d'Acciaio,Necesitas la Llave de Acero
You need the Cave Key,TXT_NEED_KEY_CAVE,,Ti serve la Chiave della Caverna,Ti serve la Chiave della Caverna,Necesitas la Llave de la Caverna
